Date,Sunrise,Sunset
2008-01-30,2008-01-30 06:11:12.012605+09:30,2008-01-30 19:23:49.617153+09:30
2008-01-31,2008-01-31 06:11:54.643993+09:30,2008-01-31 19:23:26.696263+09:30
2008-02-01,2008-02-01 06:12:36.960131+09:30,2008-02-01 19:23:02.457285+09:30
2008-02-02,2008-02-02 06:13:18.941804+09:30,2008-02-02 19:22:36.916559+09:30
2008-02-03,2008-02-03 06:14:00.571070+09:30,2008-02-03 19:22:10.091261+09:30
2008-02-04,2008-02-04 06:14:41.831265+09:30,2008-02-04 19:21:41.999365+09:30
2008-02-05,2008-02-05 06:15:22.706997+09:30,2008-02-05 19:21:12.659609+09:30
2008-02-06,2008-02-06 06:16:03.184145+09:30,2008-02-06 19:20:42.091462+09:30
2008-02-07,2008-02-07 06:16:43.249846+09:30,2008-02-07 19:20:10.315088+09:30
2008-02-08,2008-02-08 06:17:22.892489+09:30,2008-02-08 19:19:37.351312+09:30
2008-02-09,2008-02-09 06:18:02.101696+09:30,2008-02-09 19:19:03.221585+09:30
2008-02-10,2008-02-10 06:18:40.868310+09:30,2008-02-10 19:18:27.947956+09:30
2008-02-11,2008-02-11 06:19:19.184373+09:30,2008-02-11 19:17:51.553030+09:30
2008-02-12,2008-02-12 06:19:57.043106+09:30,2008-02-12 19:17:14.059943+09:30
2008-02-13,2008-02-13 06:20:34.438886+09:30,2008-02-13 19:16:35.492324+09:30
2008-02-14,2008-02-14 06:21:11.367221+09:30,2008-02-14 19:15:55.874267+09:30
2008-02-15,2008-02-15 06:21:47.824719+09:30,2008-02-15 19:15:15.230298+09:30
2008-02-16,2008-02-16 06:22:23.809065+09:30,2008-02-16 19:14:33.585345+09:30
2008-02-17,2008-02-17 06:22:59.318987+09:30,2008-02-17 19:13:50.964706+09:30
2008-02-18,2008-02-18 06:23:34.354224+09:30,2008-02-18 19:13:07.394025+09:30
2008-02-19,2008-02-19 06:24:08.915497+09:30,2008-02-19 19:12:22.899257+09:30
2008-02-20,2008-02-20 06:24:43.004472+09:30,2008-02-20 19:11:37.506643+09:30
2008-02-21,2008-02-21 06:25:16.623724+09:30,2008-02-21 19:10:51.242686+09:30
2008-02-22,2008-02-22 06:25:49.776706+09:30,2008-02-22 19:10:04.134119+09:30
2008-02-23,2008-02-23 06:26:22.467713+09:30,2008-02-23 19:09:16.207885+09:30
2008-02-24,2008-02-24 06:26:54.701840+09:30,2008-02-24 19:08:27.491109+09:30
2008-02-25,2008-02-25 06:27:26.484951+09:30,2008-02-25 19:07:38.011079+09:30
2008-02-26,2008-02-26 06:27:57.823643+09:30,2008-02-26 19:06:47.795217+09:30
2008-02-27,2008-02-27 06:28:28.725202+09:30,2008-02-27 19:05:56.871065+09:30
2008-02-28,2008-02-28 06:28:59.197577+09:30,2008-02-28 19:05:05.266259+09:30
2008-02-29,2008-02-29 06:29:29.249332+09:30,2008-02-29 19:04:13.008513+09:30
2008-03-01,2008-03-01 06:29:58.889621+09:30,2008-03-01 19:03:20.125597+09:30
2008-03-02,2008-03-02 06:30:28.128141+09:30,2008-03-02 19:02:26.645324+09:30
2008-03-03,2008-03-03 06:30:56.975107+09:30,2008-03-03 19:01:32.595531+09:30
2008-03-04,2008-03-04 06:31:25.441208+09:30,2008-03-04 19:00:38.004063+09:30
2008-03-05,2008-03-05 06:31:53.537580+09:30,2008-03-05 18:59:42.898762+09:30
2008-03-06,2008-03-06 06:32:21.275766+09:30,2008-03-06 18:58:47.307450+09:30
2008-03-07,2008-03-07 06:32:48.667688+09:30,2008-03-07 18:57:51.257919+09:30
2008-03-08,2008-03-08 06:33:15.725609+09:30,2008-03-08 18:56:54.777919+09:30
2008-03-09,2008-03-09 06:33:42.462107+09:30,2008-03-09 18:55:57.895148+09:30
2008-03-10,2008-03-10 06:34:08.890041+09:30,2008-03-10 18:55:00.637244+09:30
2008-03-11,2008-03-11 06:34:35.022521+09:30,2008-03-11 18:54:03.031773+09:30
2008-03-12,2008-03-12 06:35:00.872877+09:30,2008-03-12 18:53:05.106225+09:30
2008-03-13,2008-03-13 06:35:26.454634+09:30,2008-03-13 18:52:06.888005+09:30
2008-03-14,2008-03-14 06:35:51.781482+09:30,2008-03-14 18:51:08.404431+09:30
2008-03-15,2008-03-15 06:36:16.867249+09:30,2008-03-15 18:50:09.682723+09:30
2008-03-16,2008-03-16 06:36:41.725874+09:30,2008-03-16 18:49:10.750004+09:30
2008-03-17,2008-03-17 06:37:06.371384+09:30,2008-03-17 18:48:11.633294+09:30
2008-03-18,2008-03-18 06:37:30.817866+09:30,2008-03-18 18:47:12.359507+09:30
2008-03-19,2008-03-19 06:37:55.079444+09:30,2008-03-19 18:46:12.955449+09:30
2008-03-20,2008-03-20 06:38:19.170257+09:30,2008-03-20 18:45:13.447818+09:30
2008-03-21,2008-03-21 06:38:43.104434+09:30,2008-03-21 18:44:13.863199+09:30
2008-03-22,2008-03-22 06:39:06.896074+09:30,2008-03-22 18:43:14.228066+09:30
2008-03-23,2008-03-23 06:39:30.559222+09:30,2008-03-23 18:42:14.568779+09:30
2008-03-24,2008-03-24 06:39:54.107847+09:30,2008-03-24 18:41:14.911587+09:30
2008-03-25,2008-03-25 06:40:17.555827+09:30,2008-03-25 18:40:15.282625+09:30
2008-03-26,2008-03-26 06:40:40.916920+09:30,2008-03-26 18:39:15.707917+09:30
2008-03-27,2008-03-27 06:41:04.204753+09:30,2008-03-27 18:38:16.213372+09:30
2008-03-28,2008-03-28 06:41:27.432795+09:30,2008-03-28 18:37:16.824787+09:30
2008-03-29,2008-03-29 06:41:50.614341+09:30,2008-03-29 18:36:17.567850+09:30
2008-03-30,2008-03-30 06:42:13.762493+09:30,2008-03-30 18:35:18.468135+09:30
2008-03-31,2008-03-31 06:42:36.890140+09:30,2008-03-31 18:34:19.551103+09:30
2008-04-01,2008-04-01 06:43:00.009940+09:30,2008-04-01 18:33:20.842105+09:30
2008-04-02,2008-04-02 06:43:23.134300+09:30,2008-04-02 18:32:22.366380+09:30
2008-04-03,2008-04-03 06:43:46.275358+09:30,2008-04-03 18:31:24.149052+09:30
2008-04-04,2008-04-04 06:44:09.444966+09:30,2008-04-04 18:30:26.215132+09:30
2008-04-05,2008-04-05 06:44:32.654666+09:30,2008-04-05 18:29:28.589516+09:30
2008-04-06,2008-04-06 06:44:55.915679+09:30,2008-04-06 18:28:31.296978+09:30
2008-04-07,2008-04-07 06:45:19.238879+09:30,2008-04-07 18:27:34.362177+09:30
2008-04-08,2008-04-08 06:45:42.634779+09:30,2008-04-08 18:26:37.809643+09:30
2008-04-09,2008-04-09 06:46:06.113508+09:30,2008-04-09 18:25:41.663782+09:30
2008-04-10,2008-04-10 06:46:29.684796+09:30,2008-04-10 18:24:45.948864+09:30
2008-04-11,2008-04-11 06:46:53.357951+09:30,2008-04-11 18:23:50.689026+09:30
2008-04-12,2008-04-12 06:47:17.141842+09:30,2008-04-12 18:22:55.908257+09:30
2008-04-13,2008-04-13 06:47:41.044879+09:30,2008-04-13 18:22:01.630399+09:30
2008-04-14,2008-04-14 06:48:05.074992+09:30,2008-04-14 18:21:07.879134+09:30
2008-04-15,2008-04-15 06:48:29.239613+09:30,2008-04-15 18:20:14.677978+09:30
2008-04-16,2008-04-16 06:48:53.545655+09:30,2008-04-16 18:19:22.050274+09:30
2008-04-17,2008-04-17 06:49:17.999493+09:30,2008-04-17 18:18:30.019176+09:30
2008-04-18,2008-04-18 06:49:42.606944+09:30,2008-04-18 18:17:38.607644+09:30
2008-04-19,2008-04-19 06:50:07.373245+09:30,2008-04-19 18:16:47.838427+09:30
2008-04-20,2008-04-20 06:50:32.303038+09:30,2008-04-20 18:15:57.734057+09:30
2008-04-21,2008-04-21 06:50:57.400344+09:30,2008-04-21 18:15:08.316827+09:30
2008-04-22,2008-04-22 06:51:22.668550+09:30,2008-04-22 18:14:19.608784+09:30
2008-04-23,2008-04-23 06:51:48.110385+09:30,2008-04-23 18:13:31.631710+09:30
2008-04-24,2008-04-24 06:52:13.727901+09:30,2008-04-24 18:12:44.407105+09:30
2008-04-25,2008-04-25 06:52:39.522460+09:30,2008-04-25 18:11:57.956175+09:30
2008-04-26,2008-04-26 06:53:05.494707+09:30,2008-04-26 18:11:12.299808+09:30
2008-04-27,2008-04-27 06:53:31.644561+09:30,2008-04-27 18:10:27.458559+09:30
2008-04-28,2008-04-28 06:53:57.971193+09:30,2008-04-28 18:09:43.452632+09:30
2008-04-29,2008-04-29 06:54:24.473009+09:30,2008-04-29 18:09:00.301856+09:30
2008-04-30,2008-04-30 06:54:51.147639+09:30,2008-04-30 18:08:18.025668+09:30
2008-05-01,2008-05-01 06:55:17.991917+09:30,2008-05-01 18:07:36.643091+09:30
2008-05-02,2008-05-02 06:55:45.001873+09:30,2008-05-02 18:06:56.172710+09:30
2008-05-03,2008-05-03 06:56:12.172713+09:30,2008-05-03 18:06:16.632654+09:30
2008-05-04,2008-05-04 06:56:39.498816+09:30,2008-05-04 18:05:38.040567+09:30
2008-05-05,2008-05-05 06:57:06.973716+09:30,2008-05-05 18:05:00.413593+09:30
2008-05-06,2008-05-06 06:57:34.590099+09:30,2008-05-06 18:04:23.768343+09:30
2008-05-07,2008-05-07 06:58:02.339793+09:30,2008-05-07 18:03:48.120881+09:30
2008-05-08,2008-05-08 06:58:30.213761+09:30,2008-05-08 18:03:13.486689+09:30
2008-05-09,2008-05-09 06:58:58.202099+09:30,2008-05-09 18:02:39.880654+09:30
2008-05-10,2008-05-10 06:59:26.294031+09:30,2008-05-10 18:02:07.317036+09:30
2008-05-11,2008-05-11 06:59:54.477913+09:30,2008-05-11 18:01:35.809444+09:30
2008-05-12,2008-05-12 07:00:22.741227+09:30,2008-05-12 18:01:05.370817+09:30
2008-05-13,2008-05-13 07:00:51.070589+09:30,2008-05-13 18:00:36.013393+09:30
2008-05-14,2008-05-14 07:01:19.451755+09:30,2008-05-14 18:00:07.748689+09:30
2008-05-15,2008-05-15 07:01:47.869624+09:30,2008-05-15 17:59:40.587479+09:30
2008-05-16,2008-05-16 07:02:16.308248+09:30,2008-05-16 17:59:14.539763+09:30
2008-05-17,2008-05-17 07:02:44.750848+09:30,2008-05-17 17:58:49.614753+09:30
2008-05-18,2008-05-18 07:03:13.179822+09:30,2008-05-18 17:58:25.820846+09:30
2008-05-19,2008-05-19 07:03:41.576763+09:30,2008-05-19 17:58:03.165600+09:30
2008-05-20,2008-05-20 07:04:09.922477+09:30,2008-05-20 17:57:41.655720+09:30
2008-05-21,2008-05-21 07:04:38.197006+09:30,2008-05-21 17:57:21.297030+09:30
2008-05-22,2008-05-22 07:05:06.379645+09:30,2008-05-22 17:57:02.094459+09:30
2008-05-23,2008-05-23 07:05:34.448970+09:30,2008-05-23 17:56:44.052019+09:30
2008-05-24,2008-05-24 07:06:02.382868+09:30,2008-05-24 17:56:27.172791+09:30
2008-05-25,2008-05-25 07:06:30.158560+09:30,2008-05-25 17:56:11.458906+09:30
2008-05-26,2008-05-26 07:06:57.752637+09:30,2008-05-26 17:55:56.911533+09:30
2008-05-27,2008-05-27 07:07:25.141091+09:30,2008-05-27 17:55:43.530861+09:30
2008-05-28,2008-05-28 07:07:52.299352+09:30,2008-05-28 17:55:31.316092+09:30
2008-05-29,2008-05-29 07:08:19.202326+09:30,2008-05-29 17:55:20.265428+09:30
2008-05-30,2008-05-30 07:08:45.824430+09:30,2008-05-30 17:55:10.376060+09:30
2008-05-31,2008-05-31 07:09:12.139638+09:30,2008-05-31 17:55:01.644165+09:30
2008-06-01,2008-06-01 07:09:38.121523+09:30,2008-06-01 17:54:54.064897+09:30
2008-06-02,2008-06-02 07:10:03.743296+09:30,2008-06-02 17:54:47.632385+09:30
2008-06-03,2008-06-03 07:10:28.977859+09:30,2008-06-03 17:54:42.339732+09:30
2008-06-04,2008-06-04 07:10:53.797847+09:30,2008-06-04 17:54:38.179013+09:30
2008-06-05,2008-06-05 07:11:18.175675+09:30,2008-06-05 17:54:35.141279+09:30
2008-06-06,2008-06-06 07:11:42.083592+09:30,2008-06-06 17:54:33.216562+09:30
2008-06-07,2008-06-07 07:12:05.493726+09:30,2008-06-07 17:54:32.393879+09:30
2008-06-08,2008-06-08 07:12:28.378137+09:30,2008-06-08 17:54:32.661244+09:30
2008-06-09,2008-06-09 07:12:50.708865+09:30,2008-06-09 17:54:34.005678+09:30
2008-06-10,2008-06-10 07:13:12.457985+09:30,2008-06-10 17:54:36.413221+09:30
2008-06-11,2008-06-11 07:13:33.597656+09:30,2008-06-11 17:54:39.868950+09:30
2008-06-12,2008-06-12 07:13:54.100172+09:30,2008-06-12 17:54:44.356994+09:30
2008-06-13,2008-06-13 07:14:13.938016+09:30,2008-06-13 17:54:49.860558+09:30
2008-06-14,2008-06-14 07:14:33.083906+09:30,2008-06-14 17:54:56.361944+09:30
2008-06-15,2008-06-15 07:14:51.510851+09:30,2008-06-15 17:55:03.842575+09:30
2008-06-16,2008-06-16 07:15:09.192194+09:30,2008-06-16 17:55:12.283023+09:30
2008-06-17,2008-06-17 07:15:26.101668+09:30,2008-06-17 17:55:21.663039+09:30
2008-06-18,2008-06-18 07:15:42.213438+09:30,2008-06-18 17:55:31.961584+09:30
2008-06-19,2008-06-19 07:15:57.502151+09:30,2008-06-19 17:55:43.156863+09:30
2008-06-20,2008-06-20 07:16:11.942980+09:30,2008-06-20 17:55:55.226360+09:30
2008-06-21,2008-06-21 07:16:25.511669+09:30,2008-06-21 17:56:08.146878+09:30
2008-06-22,2008-06-22 07:16:38.184572+09:30,2008-06-22 17:56:21.894576+09:30
2008-06-23,2008-06-23 07:16:49.938700+09:30,2008-06-23 17:56:36.445011+09:30
2008-06-24,2008-06-24 07:17:00.751754+09:30,2008-06-24 17:56:51.773183+09:30
2008-06-25,2008-06-25 07:17:10.602165+09:30,2008-06-25 17:57:07.853578+09:30
2008-06-26,2008-06-26 07:17:19.469129+09:30,2008-06-26 17:57:24.660214+09:30
2008-06-27,2008-06-27 07:17:27.332641+09:30,2008-06-27 17:57:42.166688+09:30
2008-06-28,2008-06-28 07:17:34.173522+09:30,2008-06-28 17:58:00.346227+09:30
2008-06-29,2008-06-29 07:17:39.973453+09:30,2008-06-29 17:58:19.171733+09:30
2008-06-30,2008-06-30 07:17:44.714999+09:30,2008-06-30 17:58:38.615838+09:30
2008-07-01,2008-07-01 07:17:48.381635+09:30,2008-07-01 17:58:58.650951+09:30
2008-07-02,2008-07-02 07:17:50.957765+09:30,2008-07-02 17:59:19.249311+09:30
2008-07-03,2008-07-03 07:17:52.428744+09:30,2008-07-03 17:59:40.383040+09:30
2008-07-04,2008-07-04 07:17:52.780899+09:30,2008-07-04 18:00:02.024191+09:30
2008-07-05,2008-07-05 07:17:52.001537+09:30,2008-07-05 18:00:24.144804+09:30
2008-07-06,2008-07-06 07:17:50.078963+09:30,2008-07-06 18:00:46.716956+09:30
2008-07-07,2008-07-07 07:17:47.002491+09:30,2008-07-07 18:01:09.712810+09:30
2008-07-08,2008-07-08 07:17:42.762450+09:30,2008-07-08 18:01:33.104669+09:30
2008-07-09,2008-07-09 07:17:37.350191+09:30,2008-07-09 18:01:56.865023+09:30
2008-07-10,2008-07-10 07:17:30.758093+09:30,2008-07-10 18:02:20.966602+09:30
2008-07-11,2008-07-11 07:17:22.979565+09:30,2008-07-11 18:02:45.382419+09:30
2008-07-12,2008-07-12 07:17:14.009041+09:30,2008-07-12 18:03:10.085819+09:30
2008-07-13,2008-07-13 07:17:03.841986+09:30,2008-07-13 18:03:35.050528+09:30
2008-07-14,2008-07-14 07:16:52.474885+09:30,2008-07-14 18:04:00.250689+09:30
2008-07-15,2008-07-15 07:16:39.905243+09:30,2008-07-15 18:04:25.660914+09:30
2008-07-16,2008-07-16 07:16:26.131572+09:30,2008-07-16 18:04:51.256316+09:30
2008-07-17,2008-07-17 07:16:11.153387+09:30,2008-07-17 18:05:17.012554+09:30
2008-07-18,2008-07-18 07:15:54.971192+09:30,2008-07-18 18:05:42.905868+09:30
2008-07-19,2008-07-19 07:15:37.586469+09:30,2008-07-19 18:06:08.913111+09:30
2008-07-20,2008-07-20 07:15:19.001661+09:30,2008-07-20 18:06:35.011787+09:30
2008-07-21,2008-07-21 07:14:59.220163+09:30,2008-07-21 18:07:01.180078+09:30
2008-07-22,2008-07-22 07:14:38.246300+09:30,2008-07-22 18:07:27.396876+09:30
2008-07-23,2008-07-23 07:14:16.085312+09:30,2008-07-23 18:07:53.641804+09:30
2008-07-24,2008-07-24 07:13:52.743332+09:30,2008-07-24 18:08:19.895246+09:30
2008-07-25,2008-07-25 07:13:28.227372+09:30,2008-07-25 18:08:46.138363+09:30
2008-07-26,2008-07-26 07:13:02.545298+09:30,2008-07-26 18:09:12.353116+09:30
2008-07-27,2008-07-27 07:12:35.705807+09:30,2008-07-27 18:09:38.522284+09:30
2008-07-28,2008-07-28 07:12:07.718409+09:30,2008-07-28 18:10:04.629475+09:30
2008-07-29,2008-07-29 07:11:38.593403+09:30,2008-07-29 18:10:30.659140+09:30
2008-07-30,2008-07-30 07:11:08.341850+09:30,2008-07-30 18:10:56.596587+09:30
2008-07-31,2008-07-31 07:10:36.975552+09:30,2008-07-31 18:11:22.427981+09:30
2008-08-01,2008-08-01 07:10:04.507027+09:30,2008-08-01 18:11:48.140358+09:30
2008-08-02,2008-08-02 07:09:30.949484+09:30,2008-08-02 18:12:13.721624+09:30
2008-08-03,2008-08-03 07:08:56.316798+09:30,2008-08-03 18:12:39.160558+09:30
2008-08-04,2008-08-04 07:08:20.623485+09:30,2008-08-04 18:13:04.446814+09:30
2008-08-05,2008-08-05 07:07:43.884675+09:30,2008-08-05 18:13:29.570914+09:30
2008-08-06,2008-08-06 07:07:06.116090+09:30,2008-08-06 18:13:54.524248+09:30
2008-08-07,2008-08-07 07:06:27.334014+09:30,2008-08-07 18:14:19.299068+09:30
2008-08-08,2008-08-08 07:05:47.555273+09:30,2008-08-08 18:14:43.888479+09:30
2008-08-09,2008-08-09 07:05:06.797207+09:30,2008-08-09 18:15:08.286432+09:30
2008-08-10,2008-08-10 07:04:25.077647+09:30,2008-08-10 18:15:32.487713+09:30
2008-08-11,2008-08-11 07:03:42.414887+09:30,2008-08-11 18:15:56.487930+09:30
2008-08-12,2008-08-12 07:02:58.827666+09:30,2008-08-12 18:16:20.283506+09:30
2008-08-13,2008-08-13 07:02:14.335141+09:30,2008-08-13 18:16:43.871656+09:30
2008-08-14,2008-08-14 07:01:28.956862+09:30,2008-08-14 18:17:07.250380+09:30
2008-08-15,2008-08-15 07:00:42.712756+09:30,2008-08-15 18:17:30.418445+09:30
2008-08-16,2008-08-16 06:59:55.623099+09:30,2008-08-16 18:17:53.375365+09:30
2008-08-17,2008-08-17 06:59:07.708499+09:30,2008-08-17 18:18:16.121389+09:30
2008-08-18,2008-08-18 06:58:18.989873+09:30,2008-08-18 18:18:38.657480+09:30
2008-08-19,2008-08-19 06:57:29.488431+09:30,2008-08-19 18:19:00.985295+09:30
2008-08-20,2008-08-20 06:56:39.225654+09:30,2008-08-20 18:19:23.107171+09:30
2008-08-21,2008-08-21 06:55:48.223276+09:30,2008-08-21 18:19:45.026101+09:30
2008-08-22,2008-08-22 06:54:56.503272+09:30,2008-08-22 18:20:06.745717+09:30
2008-08-23,2008-08-23 06:54:04.087834+09:30,2008-08-23 18:20:28.270269+09:30
2008-08-24,2008-08-24 06:53:10.999363+09:30,2008-08-24 18:20:49.604608+09:30
2008-08-25,2008-08-25 06:52:17.260451+09:30,2008-08-25 18:21:10.754162+09:30
2008-08-26,2008-08-26 06:51:22.893870+09:30,2008-08-26 18:21:31.724918+09:30
2008-08-27,2008-08-27 06:50:27.922555+09:30,2008-08-27 18:21:52.523403+09:30
2008-08-28,2008-08-28 06:49:32.369600+09:30,2008-08-28 18:22:13.156665+09:30
2008-08-29,2008-08-29 06:48:36.258241+09:30,2008-08-29 18:22:33.632251+09:30
2008-08-30,2008-08-30 06:47:39.611851+09:30,2008-08-30 18:22:53.958188+09:30
2008-08-31,2008-08-31 06:46:42.453928+09:30,2008-08-31 18:23:14.142968+09:30
2008-09-01,2008-09-01 06:45:44.808091+09:30,2008-09-01 18:23:34.195523+09:30
2008-09-02,2008-09-02 06:44:46.698070+09:30,2008-09-02 18:23:54.125212+09:30
2008-09-03,2008-09-03 06:43:48.147704+09:30,2008-09-03 18:24:13.941800+09:30
2008-09-04,2008-09-04 06:42:49.180933+09:30,2008-09-04 18:24:33.655439+09:30
2008-09-05,2008-09-05 06:41:49.821795+09:30,2008-09-05 18:24:53.276655+09:30
2008-09-06,2008-09-06 06:40:50.094425+09:30,2008-09-06 18:25:12.816326+09:30
2008-09-07,2008-09-07 06:39:50.023048+09:30,2008-09-07 18:25:32.285666+09:30
2008-09-08,2008-09-08 06:38:49.631983+09:30,2008-09-08 18:25:51.696211+09:30
2008-09-09,2008-09-09 06:37:48.945637+09:30,2008-09-09 18:26:11.059800+09:30
2008-09-10,2008-09-10 06:36:47.988509+09:30,2008-09-10 18:26:30.388558+09:30
2008-09-11,2008-09-11 06:35:46.785186+09:30,2008-09-11 18:26:49.694882+09:30
2008-09-12,2008-09-12 06:34:45.360348+09:30,2008-09-12 18:27:08.991425+09:30
2008-09-13,2008-09-13 06:33:43.738766+09:30,2008-09-13 18:27:28.291079+09:30
2008-09-14,2008-09-14 06:32:41.945305+09:30,2008-09-14 18:27:47.606959+09:30
2008-09-15,2008-09-15 06:31:40.004928+09:30,2008-09-15 18:28:06.952388+09:30
2008-09-16,2008-09-16 06:30:37.942693+09:30,2008-09-16 18:28:26.340882+09:30
2008-09-17,2008-09-17 06:29:35.783763+09:30,2008-09-17 18:28:45.786134+09:30
2008-09-18,2008-09-18 06:28:33.553401+09:30,2008-09-18 18:29:05.301994+09:30
2008-09-19,2008-09-19 06:27:31.276978+09:30,2008-09-19 18:29:24.902461+09:30
2008-09-20,2008-09-20 06:26:28.979974+09:30,2008-09-20 18:29:44.601658+09:30
2008-09-21,2008-09-21 06:25:26.687981+09:30,2008-09-21 18:30:04.413820+09:30
2008-09-22,2008-09-22 06:24:24.426706+09:30,2008-09-22 18:30:24.353277+09:30
2008-09-23,2008-09-23 06:23:22.221971+09:30,2008-09-23 18:30:44.434434+09:30
2008-09-24,2008-09-24 06:22:20.099719+09:30,2008-09-24 18:31:04.671755+09:30
2008-09-25,2008-09-25 06:21:18.086013+09:30,2008-09-25 18:31:25.079744+09:30
2008-09-26,2008-09-26 06:20:16.207036+09:30,2008-09-26 18:31:45.672925+09:30
2008-09-27,2008-09-27 06:19:14.489098+09:30,2008-09-27 18:32:06.465823+09:30
2008-09-28,2008-09-28 06:18:12.958629+09:30,2008-09-28 18:32:27.472944+09:30
2008-09-29,2008-09-29 06:17:11.642184+09:30,2008-09-29 18:32:48.708753+09:30
2008-09-30,2008-09-30 06:16:10.566438+09:30,2008-09-30 18:33:10.187651+09:30
2008-10-01,2008-10-01 06:15:09.758189+09:30,2008-10-01 18:33:31.923956+09:30
2008-10-02,2008-10-02 06:14:09.244351+09:30,2008-10-02 18:33:53.931875+09:30
2008-10-03,2008-10-03 06:13:09.051954+09:30,2008-10-03 18:34:16.225480+09:30
2008-10-04,2008-10-04 06:12:09.208138+09:30,2008-10-04 18:34:38.818687+09:30
2008-10-05,2008-10-05 06:11:09.740150+09:30,2008-10-05 18:35:01.725224+09:30
2008-10-06,2008-10-06 06:10:10.675336+09:30,2008-10-06 18:35:24.958608+09:30
2008-10-07,2008-10-07 06:09:12.041133+09:30,2008-10-07 18:35:48.532112+09:30
2008-10-08,2008-10-08 06:08:13.865067+09:30,2008-10-08 18:36:12.458744+09:30
2008-10-09,2008-10-09 06:07:16.174736+09:30,2008-10-09 18:36:36.751207+09:30
2008-10-10,2008-10-10 06:06:18.997806+09:30,2008-10-10 18:37:01.421876+09:30
2008-10-11,2008-10-11 06:05:22.361996+09:30,2008-10-11 18:37:26.482763+09:30
2008-10-12,2008-10-12 06:04:26.295068+09:30,2008-10-12 18:37:51.945484+09:30
2008-10-13,2008-10-13 06:03:30.824814+09:30,2008-10-13 18:38:17.821226+09:30
2008-10-14,2008-10-14 06:02:35.979039+09:30,2008-10-14 18:38:44.120716+09:30
2008-10-15,2008-10-15 06:01:41.785546+09:30,2008-10-15 18:39:10.854179+09:30
2008-10-16,2008-10-16 06:00:48.272121+09:30,2008-10-16 18:39:38.031311+09:30
2008-10-17,2008-10-17 05:59:55.466514+09:30,2008-10-17 18:40:05.661236+09:30
2008-10-18,2008-10-18 05:59:03.396419+09:30,2008-10-18 18:40:33.752476+09:30
2008-10-19,2008-10-19 05:58:12.089456+09:30,2008-10-19 18:41:02.312906+09:30
2008-10-20,2008-10-20 05:57:21.573147+09:30,2008-10-20 18:41:31.349727+09:30
2008-10-21,2008-10-21 05:56:31.874899+09:30,2008-10-21 18:42:00.869420+09:30
2008-10-22,2008-10-22 05:55:43.021972+09:30,2008-10-22 18:42:30.877712+09:30
2008-10-23,2008-10-23 05:54:55.041463+09:30,2008-10-23 18:43:01.379541+09:30
